conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,cleaned_text
1886684667480563768,Tue Feb 04 07:54:12 +0000 2025,0,PT ASDP Indonesia Ferry (Persero) menegaskan bahwa layanan penyeberangan yang dikelolanya tetap bebas dari PPN meskipun sempat muncul wacana kenaikan PPN hingga 12%. #ASDPBebasPPN #ASDPIndonesiaFerry #PPN12% #KenaikanPPN12% #LayananASDP #logistiknasional https://t.co/yvgC6qRsOQ,1886684667480563768,https://pbs.twimg.com/media/Gi7Zsrya4AQft0p.jpg,,in,,0,0,0,https://x.com/BUMN_PbnRapi2/status/1886684667480563768,1744913208392216576,BUMN_PbnRapi2,PT ASDP Indonesia Ferry Persero layanan penyeberangan dikelolanya bebas PPN muncul wacana kenaikan PPN 12
1886634991880429990,Tue Feb 04 04:36:48 +0000 2025,1,Tebak bre #breakingnews #ppn12% #peringatandarurat #lpg3kg #pemerintah #bahlil https://t.co/uI6xKzZ5uK,1886634991880429990,https://pbs.twimg.com/ext_tw_video_thumb/1886634531228409857/pu/img/HAN4FlnTeGjw_2uj.jpg,,in,,0,0,0,https://x.com/nengminder/status/1886634991880429990,2595261144,nengminder,Tebak bre
1886588615368859989,Tue Feb 04 01:32:32 +0000 2025,1,seperti Pajak Penghasilan (PPh) Pasal 15 sebesar 1 2% atas penghasilan bruto dari jasa angkutan laut. #ASDPBebasPPN #ASDPIndonesiaFerry #PPN12 #KenaikanPPN12 #LayananASDP #logistiknasional,1886588617843466630,,BUMNJktKualitas,in,,0,0,0,https://x.com/BUMNJktKualitas/status/1886588617843466630,1830763772379832323,BUMNJktKualitas,Pajak Penghasilan PPh Pasal 15 1 2 penghasilan bruto jasa angkutan laut
1886386982835863776,Mon Feb 03 12:11:18 +0000 2025,3,Penyesuaian PPN yang diberlakukan pemerintah menjadi langkah strategis untuk meningkatkan pendapatan negara. Bersama kita dukung kebijakan ini demi pembangunan yang berkelanjutan! #PPN12% #PPN #InfoPajak https://t.co/OntBVX3xc6,1886386982835863776,https://pbs.twimg.com/ext_tw_video_thumb/1886386922895056896/pu/img/6GzPEibns2pnmr0Q.jpg,,in,,0,2,2,https://x.com/Meme_Pemerintah/status/1886386982835863776,1870027492700090368,Meme_Pemerintah,Penyesuaian PPN diberlakukan pemerintah langkah strategis meningkatkan pendapatan negara dukung kebijakan pembangunan berkelanjutan
1886348351417057782,Mon Feb 03 09:37:48 +0000 2025,0,PPN naik jadi 12%? Jangan panik! Kenaikan ini bertujuan untuk meningkatkan pendapatan negara demi pembangunan yang lebih baik. Yuk bijak menyikapi dan tetap dukung perekonomian! #PPN12 #EkonomiIndonesia https://t.co/TrWumrWGFp,1886348351417057782,https://pbs.twimg.com/media/Gi2n0uZbUAAxG4a.jpg,,in,,0,0,0,https://x.com/Lienka_sani/status/1886348351417057782,1583194626881572864,Lienka_sani,PPN 12 panik Kenaikan bertujuan meningkatkan pendapatan negara pembangunan Yuk bijak menyikapi dukung perekonomian
1886335922922570028,Mon Feb 03 08:48:25 +0000 2025,0,*ASDP Bebas PPN 12%* PT ASDP Indonesia Ferry (Persero) menegaskan bahwa layanan penyeberangan yang dikelolanya tetap bebas dari PPN meskipun sempat muncul wacana #ASDPBebasPPN #ASDPIndonesiaFerry #PPN12% #KenaikanPPN12% #LayananASDP #logistiknasional https://t.co/ojB6Td9TUY,1886335922922570028,,,in,,0,0,0,https://x.com/BumnTpi1763/status/1886335922922570028,1653323712920457221,BumnTpi1763,ASDP Bebas PPN 12 PT ASDP Indonesia Ferry Persero layanan penyeberangan dikelolanya bebas PPN muncul wacana
1885918648340267469,Sun Feb 02 05:10:19 +0000 2025,0,Penyesuaian PPN 12% adalah langkah strategis untuk menjaga stabilitas ekonomi dan keberlanjutan pembangunan. Mari kita dukung kebijakan ini demi Indonesia yang lebih kuat dan mandiri! 🇮🇩 #PPN12 #EkonomiBerkelanjutan https://t.co/YMDNoujW86,1885918648340267469,https://pbs.twimg.com/media/GiwhAzYbsAEcqM-.jpg,,in,,0,0,0,https://x.com/Lienka_sani/status/1885918648340267469,1583194626881572864,Lienka_sani,Penyesuaian PPN 12 langkah strategis menjaga stabilitas ekonomi keberlanjutan pembangunan Mari dukung kebijakan Indonesia kuat mandiri
1885658638418846012,Sat Feb 01 11:57:07 +0000 2025,1,Penyesuaian Pajak Pertambahan nilai atau PPN sebesar 1% hanya untuk barang mewah memberikan dampak positif pada pengelolaan pajak sekaligus memberikan stimulus ekonomi yang dapat meningkatkan kesejahteraan masyarakat. #PPN12% #PPN #Infopajak https://t.co/uWTyu2m3gb,1885658638418846012,https://pbs.twimg.com/ext_tw_video_thumb/1885658517492899840/pu/img/fqfl_Lc0TVYB_MkB.jpg,,in,,0,0,1,https://x.com/Meme_Pemerintah/status/1885658638418846012,1870027492700090368,Meme_Pemerintah,Penyesuaian Pajak Pertambahan nilai PPN 1 barang mewah dampak positif pengelolaan pajak stimulus ekonomi meningkatkan kesejahteraan masyarakat
1885544868795343083,Sat Feb 01 04:25:03 +0000 2025,0,PPN 12: Langkah maju untuk Indonesia! Dukung implementasi kebijakan ini demi perekonomian yang lebih kuat dan berkelanjutan. #PPN12 #EkonomiMaju https://t.co/CIzmhAZR2S,1885544868795343083,https://pbs.twimg.com/media/GirNEAja0AAy60O.jpg,,in,,0,0,0,https://x.com/Lienka_sani/status/1885544868795343083,1583194626881572864,Lienka_sani,PPN 12 Langkah maju Indonesia Dukung implementasi kebijakan perekonomian kuat berkelanjutan
1885254472236155081,Fri Jan 31 09:11:07 +0000 2025,0,PPN 12% untuk Indonesia yang lebih maju! Kenaikan ini mendukung pembangunan layanan publik dan kesejahteraan bersama. Saatnya berkontribusi untuk masa depan yang lebih baik! 🇮🇩 #PPN12 #DemiIndonesia https://t.co/csI3HdLhvs,1885254472236155081,https://pbs.twimg.com/media/GinE6cLbYAIWoSl.jpg,,in,,0,0,0,https://x.com/Lienka_sani/status/1885254472236155081,1583194626881572864,Lienka_sani,PPN 12 Indonesia maju Kenaikan mendukung pembangunan layanan publik kesejahteraan berkontribusi
1885254276685193552,Fri Jan 31 09:10:20 +0000 2025,0,PPN 12%: Langkah maju untuk ekonomi yang lebih kuat! Dengan peningkatan ini pemerintah berupaya meningkatkan penerimaan negara demi pembangunan yang lebih merata. Yuk dukung kebijakan fiskal yang berkelanjutan! 🇮🇩 #PPN12 #EkonomiBerkelanjutan https://t.co/EyiNUnjxDh,1885254276685193552,https://pbs.twimg.com/media/GinEti2bYAE5Gki.jpg,,in,,0,0,0,https://x.com/Lienka_sani/status/1885254276685193552,1583194626881572864,Lienka_sani,PPN 12 Langkah maju ekonomi kuat peningkatan pemerintah berupaya meningkatkan penerimaan negara pembangunan merata Yuk dukung kebijakan fiskal berkelanjutan
1885252554650771609,Fri Jan 31 09:03:31 +0000 2025,0,perusahaan tetap menjalankan kewajiban perpajakan lainnya seperti Pajak Penghasilan (PPh) Pasal 15 sebesar 1 2% atas penghasilan bruto dari jasa angkutan laut. #ASDPBebasPPN #ASDPIndonesiaFerry #PPN12% #KenaikanPPN12% #LayananASDP #logistiknasional,1885252560745058434,,bumnpwtjitu,in,,0,0,0,https://x.com/bumnpwtjitu/status/1885252560745058434,1431823790791532548,bumnpwtjitu,perusahaan menjalankan kewajiban perpajakan Pajak Penghasilan PPh Pasal 15 1 2 penghasilan bruto jasa angkutan laut
1885231744015884552,Fri Jan 31 07:40:48 +0000 2025,2,ASDP menambahkan meski bebas dari PPN perusahaan tetap menjalankan kewajiban perpajakan lainnya seperti Pajak Penghasilan (PPh) Pasal 15 sebesar 1 2% atas penghasilan bruto dari jasa angkutan laut. #ASDPBebasPPN #ASDPIndonesiaFerry #PPN12% #KenaikanPPN12% #LayananASDP https://t.co/WsoqDj5P77,1885231744015884552,https://pbs.twimg.com/media/GimwLhxboAAEC8L.jpg,,in,,0,0,0,https://x.com/BUMNPKP_jitu/status/1885231744015884552,1671350194708049921,BUMNPKP_jitu,ASDP bebas PPN perusahaan menjalankan kewajiban perpajakan Pajak Penghasilan PPh Pasal 15 1 2 penghasilan bruto jasa angkutan laut
1884915190610932161,Thu Jan 30 10:42:56 +0000 2025,12,Pahami bagaimana kebijakan penyesuaian Pajak Pertambahan Nilai (PPN) dapat membantu mengoptimalkan pengelolaan keuangan negara dan mendukung pembangunan yang lebih berkelanjutan! #PPN12% #PPN #InfoPPN https://t.co/MVtmhJ1lnW,1884915190610932161,https://pbs.twimg.com/ext_tw_video_thumb/1884915134331748352/pu/img/6FB4RO73n5Hhe1Zm.jpg,,in,,0,12,1,https://x.com/Meme_Pemerintah/status/1884915190610932161,1870027492700090368,Meme_Pemerintah,Pahami kebijakan penyesuaian Pajak Pertambahan Nilai PPN membantu mengoptimalkan pengelolaan keuangan negara mendukung pembangunan berkelanjutan
