"uniqueId","createTimeISO","text"
"kingers45","2025-01-04T15:57:44.000Z","kopi kapal api sehrenceng aja dah 20,rebu lbih 😂"
"frostyfeedt","2025-01-05T23:52:36.000Z","pedagang carik untung"
"alix1794","2025-01-06T13:46:06.000Z","tes ombak"
"mangeaa275","2025-01-04T15:13:51.000Z","Indomaret kena"
"abang_npc","2025-01-04T10:15:14.000Z","Batal tapi tetap naik 😅"
"userokebgt","2025-01-04T08:36:30.000Z","makin rusak dan kacau"
"eunkkongie","2025-01-04T14:36:13.000Z","Halah😌"
"stifen788","2025-01-04T11:03:06.000Z","gara gara mulyono"
"hendrypratomochannel","2025-01-05T16:18:32.000Z","tuh kan, semua nya... mereka cuma bermain kata kata"
"trianggawicaksono","2025-01-04T07:06:09.000Z","gmn caranya coba 😅"
"blueberryyogurth","2025-01-04T11:31:20.000Z","Yg mungut pajak pemerintah bukan yg jualan😂😂"
"dewimaryam160","2025-01-04T13:13:53.000Z","tae"
"nugrohoboedi","2025-01-04T13:09:09.000Z","uang kembali yg 200 perak aja diganti dg permen.. 😂"
"wong.cirebon234","2025-01-04T10:38:43.000Z","Biasanya pajak itu di pungut juga tuh yang punya shopee TikTok atau lazada. Jadi tetep naik"
"asepcandra655","2025-01-04T12:41:22.000Z","😁😁😁kembalii"
"rahman__maman","2025-01-04T12:36:22.000Z","😂😂😂😂 dikembalikan"
"agungmanggung3","2025-01-05T15:27:17.000Z","dr perusahaan dan distributor udh naek kan 12 persen... emg mau rugi penjual?"
"xlclaudio","2025-01-06T02:06:41.000Z","bukannya pajak langsung masuk pusat? 🤔"
"hazairinrisky","2025-01-05T13:29:05.000Z","Beli di Madura aja enak"
"4di_susanto","2025-01-05T23:56:55.000Z","ujung2nya ""spt nya sulit kalau dikembalikan"" 😅"
"alterian.egoes","2025-01-05T22:57:48.000Z","indahnya negriku🤣"
"ss781754","2025-01-06T05:21:25.000Z","semua kena pajak ppn 12 % cabai gula beras sembako semua naik"
"asrizalapin","2025-01-05T13:19:41.000Z","bukan February kita lihat aja 😄"
"bangbend07","2025-01-04T12:40:32.000Z","warung madura gasss😂😂😂"
"daandan277","2025-01-04T10:30:17.000Z","tagih ke tokonya pake nota nya aja gaes simpel"
"mohammad_reza26","2025-01-04T13:54:35.000Z","cba di cek juga di distributor kyknya menaikan ppn jga"
"pendekar986","2025-01-04T12:17:54.000Z","jangan lupakan tarif masuk pelabuhan tj priok yg naik 3500"
"novita.wati80","2025-01-04T13:37:32.000Z","klo disupermarket gmn caranya..🤣🤣"
"nagatopain8848","2025-01-04T12:11:05.000Z","sudah gak heran sih😂"
"isengeugmo3","2025-01-05T02:48:56.000Z","di kembalikan..
bikin kerjaan, knp ppn yg tidak sesuai pada ranah nya langsung di stop aja. 😌"
"wongmandala66","2025-01-04T11:35:56.000Z","yg namanya sistem keuangan ritel gede, ga bisa sim salabim atur hari ini naik hari ini 🤣 dikira jual gorengan."
"eriektjung","2025-01-04T09:57:30.000Z","kalo toko ritel kembalikannya gimana dananya kyknya ruwet?"
"haerul.nuntung","2025-01-04T08:59:28.000Z","maaf apakah aprilia rs gp milik jorge Martin termasuk barang mewah"
"eye.o.heart","2025-01-06T01:57:44.000Z","mustahil mana ada yg mau kan aji mumpung"
"hendri_nahan","2025-01-05T13:26:58.000Z","Udah telanjur Naik....."
"nsrllah","2025-01-04T11:07:13.000Z","the real omon omong?"
"ar.il37","2025-01-04T11:25:33.000Z","tak terduga kayak gini🤔🤭"
"blaxxus","2025-01-04T10:50:42.000Z","aq beli brownis saja kena ppn 12%, dah cukup sekali beli"
"jeckibrooth","2025-01-04T09:00:07.000Z","yg kuat akan menginjak yg lemah."
"rere_0305","2025-01-04T08:36:13.000Z","mana ada bisa pilih pilah...
semua pasti naikan...
basiiiii kalau mau bisa pilih pilah"
"dzikri_suryo","2025-01-04T10:08:46.000Z","pantas saja pas dicek nota pajaknya nominalnya gak diinfokan sebatas angka pajak yg ditanggung"
"rangerraptorind","2025-01-05T08:56:14.000Z","gimana kalau udah terlanjur kredit motor coy 🗿"
"abasgroup","2025-01-04T11:21:20.000Z","sini muncul orang2 yg menjelaskan barang mewah😅😅"
"lanialove12","2025-01-04T09:02:37.000Z","internet tu brng MEWAH YA, KNP NAIK HARGANYA CUY"
"mhl2050","2025-01-06T06:34:54.000Z","obat, makanan, semuanya barang mewah"
"bento..71","2025-01-04T09:12:46.000Z","bingung 😂😂kan"
"dimzregister","2025-01-04T08:03:04.000Z","inget pajak untuk barang mewah😅😅😅😅😅"
"benbuming","2025-01-04T15:05:37.000Z","ngakali perhitungan"
"gipa253","2025-01-06T00:27:49.000Z","beli paru Frozen bisa nya 48rb kmren 65rb naik nya wowww..bukan nya daging Wagyu yg kena imbas naik yaa😘"
"udahlahkalaugitu","2025-01-04T12:45:15.000Z","PPN non barang mewah tetap 12%, yg berbeda adalah cara perhitungan DPPnya"
"sun_bin_play","2025-01-04T13:41:52.000Z","pusingkan pak"
"sanjotokokofano","2025-01-04T11:11:18.000Z","caranya gimana wong cortex nya sdh 12% dan perhitungan dpp juga mengurangi nilai harga barang kok"
"xenuslight","2025-01-04T10:49:26.000Z","gimana cara ngembalikannya🗿? apa iya setiap yg belanja dimintai data dirinya 🗿??"
"fhoenixman","2025-01-06T04:39:05.000Z","ah yang bener.. kemana cari pembeli nya untuk di kembalikan? mikir22😇😇😇"
"blurrr090","2025-01-04T11:00:42.000Z","Tarif memang berubah 12% agar tidak melanggar undang2, tetapi dpp pakai dpp nilai lain. jadi tetap pajak ppn 11%.
tetapi perhitungan ini sampai kapan????"
"picapipica","2025-01-05T23:32:26.000Z","😂 amburadul bgt"
"sweetheart_891","2025-01-05T11:25:14.000Z","belanja online skrng maahaaaaaal 😭😭😭 banyak biaya lain""a"
"ayolakubeautyshop","2025-01-04T13:37:04.000Z","sdh kuduga krna membingungkan padahal kan jg udah ada ya PPNbm"
"relfo","2025-01-04T12:49:50.000Z","lah masalah nya pabrik nagih ke distributor uda 12% gua uda liat nih sendiri fakturnya beberapa perusahaan"
"darikontak78","2025-01-04T11:09:55.000Z","Bayar tagihan internet langsung juga kena pajak 12%"
"jenggotsilverrr","2025-01-04T07:07:07.000Z","ahhhh ituu 😂😂"
"gagartang.e","2025-01-04T10:43:54.000Z","mmgnya mau cari konsumen retail kemana????"
"yocinbatubara1","2025-01-06T12:16:22.000Z","aku bli getuk aja naek biasa 5 ribu stu nya skrang 6 rebu stu nya"
"asev_1834","2025-01-04T10:42:50.000Z","loh loh loh🗿🗿🗿"
"t4639mn","2025-01-04T07:24:57.000Z","Dikembalikan ke negara maksudnya. 🤣🤣🤣"
"beingrealisgreat","2025-01-04T14:21:44.000Z","🤣🤣🤣"
"galihwidi14","2025-02-28T00:07:27.000Z","🤭"
"wah_yud111","2025-01-06T05:44:36.000Z","🤣🤣🤣🤣🤣"
"yt.anone","2025-01-06T02:05:09.000Z","🗿"
"user36216204424816","2025-01-06T00:17:45.000Z","😁😁😁"
"kk_fourth","2025-01-05T23:25:11.000Z","🗿"
"dharma.mmar","2025-01-05T21:02:47.000Z","😂😂😂"
"pejuang_devisa_indonesia","2025-01-05T15:25:31.000Z","@gerindra Yo to"
"daud.f.s","2025-01-05T14:25:02.000Z","😅😅😅😅😅😅"
"dede.paramitha","2025-01-05T13:27:40.000Z","@metro_tv baru saja sy beli baju di depstore Matahari, kena ppn 11%."
"user8123626798880","2025-01-05T12:59:47.000Z","🤦🤦😆"
"tina_ruru","2025-01-04T11:49:42.000Z","😁"
"ahda_dzikri","2025-01-04T11:13:34.000Z","@gerindra"
"kt_nhaya","2025-01-04T11:13:13.000Z","@gerindra @Partai Solidaritas Indonesia @Gibran Rakabuming"
"achmadika13","2025-01-04T08:57:01.000Z","😁😁😁😁😁"
"balad.amin.dpac","2025-01-04T08:51:46.000Z","🤣🤣🤣😂"
"dongs088","2025-01-04T08:50:07.000Z","@gerindra"
"ankara_606","2025-01-04T08:12:02.000Z","🤣🤣🤣"
"mittakhusna","2025-01-04T08:07:39.000Z","😂"
"vaa20004","2025-01-04T07:18:20.000Z","❄️"
"drstsnt","2025-01-04T14:21:18.000Z","anak abah dan si kubu merah playing victim, padahal ""PAJAK NGGA JADI NAIK LOH, SELAIN BARANG MEWAH"""
